title,description,difficulty,solution
Relative Ranks,"You are given an integer array `score` of size `n`, where `score[i]` is the score of the `ith` athlete in a competition. All the scores are guaranteed to be unique.

The athletes are placed based on their scores, where the `1st` place athlete has the highest score, the `2nd` place athlete has the `2nd` highest score, and so on. The placement of each athlete determines their rank:
The `1st` place athlete's rank is `""Gold Medal""`.

The `2nd` place athlete's rank is `""Silver Medal""`.

The `3rd` place athlete's rank is `""Bronze Medal""`.

For the `4th` place to the `nth` place athlete, their rank is their placement number (i.e., the `xth` place athlete's rank is `""x""`).

Return an array `answer` of size `n` where `answer[i]` is the rank of the `ith` athlete.


Example 1:
Input: score = [5,4,3,2,1]
Output: [""Gold Medal"",""Silver Medal"",""Bronze Medal"",""4"",""5""]
Explanation: The placements are [1st, 2nd, 3rd, 4th, 5th].


Example 2:
Input: score = [10,3,8,9,4]
Output: [""Gold Medal"",""5"",""Bronze Medal"",""Silver Medal"",""4""]
Explanation: The placements are [1st, 5th, 3rd, 2nd, 4th].


Constraints:
`n == score.length`
`1 <= n <= 104`
`0 <= score[i] <= 106`
All the values in `score` are unique.",Easy,"using System;

public class Solution
{
    public string[] FindRelativeRanks(int[] score)
    {
        int n = score.Length;
        string[] answer = new string[n];
        
        // Step 1: Create a sorted copy of the scores
        int[] sortedScores = new int[n];
        for (int i = 0; i < n; i++)
        {
            sortedScores[i] = score[i];
        }
        
        // Simple bubble sort to sort the scores in descending order
        for (int i = 0; i < n; i++)
        {
            for (int j = 0; j < n - i - 1; j++)
            {
                if (sortedScores[j] < sortedScores[j + 1])
                {
                    int temp = sortedScores[j];
                    sortedScores[j] = sortedScores[j + 1];
                    sortedScores[j + 1] = temp;
                }
            }
        }
        
        // Step 2: Assign ranks
        string[] ranks = new string[n];
        ranks[0] = ""Gold Medal"";
        if (n > 1) ranks[1] = ""Silver Medal"";
        if (n > 2) ranks[2] = ""Bronze Medal"";
        for (int i = 3; i < n; i++)
        {
            ranks[i] = (i + 1).ToString();
        }
        
        // Step 3: Map scores to ranks
        string[] rankMap = new string[1000001]; // Assuming scores are within 0 to 10^6
        for (int i = 0; i < n; i++)
        {
            rankMap[sortedScores[i]] = ranks[i];
        }
        
        // Step 4: Construct the result
        for (int i = 0; i < n; i++)
        {
            answer[i] = rankMap[score[i]];
        }
        
        return answer;
    }
}"
Truncate Sentence,"A sentence is a list of words that are separated by a single space with no leading or trailing spaces. Each of the words consists of only uppercase and lowercase English letters (no punctuation).

For example, `""Hello World""`, `""HELLO""`, and `""hello world hello world""` are all sentences.

You are given a sentence `s`​​​​​​ and an integer `k`​​​​​​. You want to truncate `s`​​​​​​ such that it contains only the first `k`​​​​​​ words. Return `s`​​​​​​ after truncating it.


Example 1:
Input: s = ""Hello how are you Contestant"", k = 4
Output: ""Hello how are you""
Explanation:
The words in s are [""Hello"", ""how"" ""are"", ""you"", ""Contestant""].

The first 4 words are [""Hello"", ""how"", ""are"", ""you""].

Hence, you should return ""Hello how are you"".


Example 2:
Input: s = ""What is the solution to this problem"", k = 4
Output: ""What is the solution""
Explanation:
The words in s are [""What"", ""is"" ""the"", ""solution"", ""to"", ""this"", ""problem""].

The first 4 words are [""What"", ""is"", ""the"", ""solution""].

Hence, you should return ""What is the solution"".


Example 3:
Input: s = ""chopper is not a tanuki"", k = 5
Output: ""chopper is not a tanuki""

Constraints:
`1 <= s.length <= 500`
`k` is in the range `[1, the number of words in s]`.

`s` consist of only lowercase and uppercase English letters and spaces.

The words in `s` are separated by a single space.

There are no leading or trailing spaces.",Easy,"public class Solution {
    public string TruncateSentence(string s, int k) {
        int length = s.Length;
        int spaceCount = 0;
        
        // Traverse the string to find the end of the k-th word
        for (int i = 0; i < length; i++) {
            if (s[i] == ' ') {
                spaceCount++;
                // If we have found k spaces, return the substring up to the current position
                if (spaceCount == k) {
                    return s.Substring(0, i);
                }
            }
        }
        
        // If k is equal to the number of words in the sentence, return the whole sentence
        return s;
    }
}"
Perform String Shifts,"You are given a string `s` containing lowercase English letters, and a matrix `shift`, where `shift[i] = [direction, amount]`:
`direction` can be `0` (for left shift) or `1` (for right shift). 
`amount` is the amount by which string `s` is to be shifted.

A left shift by 1 means remove the first character of `s` and append it to the end.

Similarly, a right shift by 1 means remove the last character of `s` and add it to the beginning.

Return the final string after all operations.


Example 1:
Input: s = ""abc"", shift = [[0,1],[1,2]]
Output: ""cab""
Explanation: 
[0,1] means shift to left by 1. ""abc"" -> ""bca""
[1,2] means shift to right by 2. ""bca"" -> ""cab""

Example 2:
Input: s = ""abcdefg"", shift = [[1,1],[1,1],[0,2],[1,3]]
Output: ""efgabcd""
Explanation:  
[1,1] means shift to right by 1. ""abcdefg"" -> ""gabcdef""
[1,1] means shift to right by 1. ""gabcdef"" -> ""fgabcde""
[0,2] means shift to left by 2. ""fgabcde"" -> ""abcdefg""
[1,3] means shift to right by 3. ""abcdefg"" -> ""efgabcd""

Constraints:
`1 <= s.length <= 100`
`s` only contains lower case English letters.

`1 <= shift.length <= 100`
`shift[i].length == 2`
`0 <= shift[i][0] <= 1`
`0 <= shift[i][1] <= 100`",Easy,"using System;

public class Solution {
    public string StringShift(string s, int[][] shift) {
        int netShift = 0;
        
        // Calculate net shift
        foreach (var sh in shift) {
            if (sh[0] == 0) {
                netShift -= sh[1]; // Left shift
            } else {
                netShift += sh[1]; // Right shift
            }
        }
        
        // Normalize net shift
        netShift = (netShift + s.Length) % s.Length;
        
        // If net shift is zero, return the original string
        if (netShift == 0) {
            return s;
        }
        
        // Perform the shift
        char[] result = new char[s.Length];
        int n = s.Length;
        
        if (netShift > 0) {
            // Right shift
            for (int i = 0; i < n; i++) {
                result[(i + netShift) % n] = s[i];
            }
        } else {
            // Left shift
            for (int i = 0; i < n; i++) {
                result[(i - netShift + n) % n] = s[i];
            }
        }
        
        return new string(result);
    }
    
    public static void Main(string[] args) {
        Solution solution = new Solution();
        
        // Test cases
        Console.WriteLine(solution.StringShift(""abc"", new int[][] { new int[] { 0, 1 }, new int[] { 1, 2 } })); // Output: ""cab""
        Console.WriteLine(solution.StringShift(""abcdefg"", new int[][] { new int[] { 1, 1 }, new int[] { 1, 1 }, new int[] { 0, 2 }, new int[] { 1, 3 } })); // Output: ""efgabcd""
    }
}"
Invert Binary Tree,"Given the `root` of a binary tree, invert the tree, and return its root.


Example 1:
Input: root = [4,2,7,1,3,6,9]
Output: [4,7,2,9,6,3,1]

Example 2:
Input: root = [2,1,3]
Output: [2,3,1]

Example 3:
Input: root = []
Output: []

Constraints:
The number of nodes in the tree is in the range `[0, 100]`.

`-100 <= Node.val <= 100`",Easy,"public class TreeNode {
    public int val;
    public TreeNode left;
    public TreeNode right;
    public TreeNode(int x) { val = x; }
}

public class Solution {
    public TreeNode InvertTree(TreeNode root) {
        // Base case: if the current node is null, return null
        if (root == null) {
            return null;
        }

        // Swap the left and right children
        TreeNode temp = root.left;
        root.left = root.right;
        root.right = temp;

        // Recursively invert the left subtree
        InvertTree(root.left);

        // Recursively invert the right subtree
        InvertTree(root.right);

        // Return the root of the inverted tree
        return root;
    }
}"
Merge Strings Alternately,"You are given two strings `word1` and `word2`. Merge the strings by adding letters in alternating order, starting with `word1`. If a string is longer than the other, append the additional letters onto the end of the merged string.

Return the merged string.


Example 1:
Input: word1 = ""abc"", word2 = ""pqr""
Output: ""apbqcr""
Explanation: The merged string will be merged as so:
word1:  a   b   c
word2:    p   q   r
merged: a p b q c r

Example 2:
Input: word1 = ""ab"", word2 = ""pqrs""
Output: ""apbqrs""
Explanation: Notice that as word2 is longer, ""rs"" is appended to the end.

word1:  a   b 
word2:    p   q   r   s
merged: a p b q   r   s

Example 3:
Input: word1 = ""abcd"", word2 = ""pq""
Output: ""apbqcd""
Explanation: Notice that as word1 is longer, ""cd"" is appended to the end.

word1:  a   b   c   d
word2:    p   q 
merged: a p b q c   d

Constraints:
`1 <= word1.length, word2.length <= 100`
`word1` and `word2` consist of lowercase English letters.",Easy,"using System;

class Program
{
    static void Main()
    {
        string word1 = ""abc"";
        string word2 = ""pqr"";
        Console.WriteLine(MergeStrings(word1, word2)); // Output: ""apbqcr""

        word1 = ""ab"";
        word2 = ""pqrs"";
        Console.WriteLine(MergeStrings(word1, word2)); // Output: ""apbqrs""

        word1 = ""abcd"";
        word2 = ""pq"";
        Console.WriteLine(MergeStrings(word1, word2)); // Output: ""apbqcd""
    }

    static string MergeStrings(string word1, string word2)
    {
        int length1 = GetStringLength(word1);
        int length2 = GetStringLength(word2);
        int maxLength = length1 > length2 ? length1 : length2;
        char[] mergedArray = new char[length1 + length2];

        for (int i = 0; i < maxLength; i++)
        {
            if (i < length1)
            {
                mergedArray[i * 2] = word1[i];
            }
            if (i < length2)
            {
                mergedArray[i * 2 + 1] = word2[i];
            }
        }

        return new string(mergedArray);
    }

    static int GetStringLength(string str)
    {
        int length = 0;
        while (str[length] != '\0')
        {
            length++;
        }
        return length;
    }
}"
Delete N Nodes After M Nodes of a Linked List,"Given the `head` of a linked list and two integers `m` and `n`. Traverse the linked list and remove some nodes in the following way:
Start with the head as the current node.

Keep the first `m` nodes starting with the current node.

Remove the next `n` nodes
Keep repeating steps 2 and 3 until you reach the end of the list.

Return the head of the modified list after removing the mentioned nodes.

Follow up question: How can you solve this problem by modifying the list in-place?

Example 1:
Input: head = [1,2,3,4,5,6,7,8,9,10,11,12,13], m = 2, n = 3
Output: [1,2,6,7,11,12]
Explanation: Keep the first (m = 2) nodes starting from the head of the linked List  (1 ->2) show in black nodes.

Delete the next (n = 3) nodes (3 -> 4 -> 5) show in read nodes.

Continue with the same procedure until reaching the tail of the Linked List.

Head of linked list after removing nodes is returned.


Example 2:
Input: head = [1,2,3,4,5,6,7,8,9,10,11], m = 1, n = 3
Output: [1,5,9]
Explanation: Head of linked list after removing nodes is returned.


Example 3:
Input: head = [1,2,3,4,5,6,7,8,9,10,11], m = 3, n = 1
Output: [1,2,3,5,6,7,9,10,11]

Example 4:
Input: head = [9,3,7,7,9,10,8,2], m = 1, n = 2
Output: [9,7,8]

Constraints:
The given linked list will contain between `1` and `10^4` nodes.

The value of each node in the linked list will be in the range` [1, 10^6]`.

`1 <= m,n <= 1000`",Easy,"public class ListNode {
    public int val;
    public ListNode next;
    public ListNode(int val = 0, ListNode next = null) {
        this.val = val;
        this.next = next;
    }
}

public class Solution {
    public ListNode DeleteNodes(ListNode head, int m, int n) {
        if (head == null) return null;

        ListNode current = head;
        ListNode prev = null;

        while (current != null) {
            // Keep m nodes
            for (int i = 0; i < m && current != null; i++) {
                if (prev == null) {
                    prev = current;
                } else {
                    prev.next = current;
                    prev = current;
                }
                current = current.next;
            }

            // Remove n nodes
            for (int i = 0; i < n && current != null; i++) {
                current = current.next;
            }

            // Link the remaining nodes
            if (prev != null) {
                prev.next = current;
            }
        }

        return head;
    }
}"
Reverse Linked List,"Given the `head` of a singly linked list, reverse the list, and return the reversed list.


Example 1:
Input: head = [1,2,3,4,5]
Output: [5,4,3,2,1]

Example 2:
Input: head = [1,2]
Output: [2,1]

Example 3:
Input: head = []
Output: []

Constraints:
The number of nodes in the list is the range `[0, 5000]`.

`-5000 <= Node.val <= 5000`
Follow up: A linked list can be reversed either iteratively or recursively. Could you implement both?",Easy,"public class ListNode
{
    public int val;
    public ListNode next;
    public ListNode(int val = 0, ListNode next = null)
    {
        this.val = val;
        this.next = next;
    }
}

public class Solution
{
    public ListNode ReverseListIterative(ListNode head)
    {
        ListNode prev = null;
        ListNode current = head;
        
        while (current != null)
        {
            ListNode nextNode = current.next; // Store the next node
            current.next = prev;              // Reverse the link
            prev = current;                   // Move prev to current
            current = nextNode;               // Move to the next node
        }
        
        return prev; // New head of the reversed list
    }
}"
How Many Numbers Are Smaller Than the Current Number,"Given the array `nums`, for each `nums[i]` find out how many numbers in the array are smaller than it. That is, for each `nums[i]` you have to count the number of valid `j's` such that `j != i` and `nums[j] < nums[i]`.

Return the answer in an array.


Example 1:
Input: nums = [8,1,2,2,3]
Output: [4,0,1,1,3]
Explanation: 
For nums[0]=8 there exist four smaller numbers than it (1, 2, 2 and 3). 
For nums[1]=1 does not exist any smaller number than it.

For nums[2]=2 there exist one smaller number than it (1). 
For nums[3]=2 there exist one smaller number than it (1). 
For nums[4]=3 there exist three smaller numbers than it (1, 2 and 2).


Example 2:
Input: nums = [6,5,4,8]
Output: [2,1,0,3]

Example 3:
Input: nums = [7,7,7,7]
Output: [0,0,0,0]

Constraints:
`2 <= nums.length <= 500`
`0 <= nums[i] <= 100`",Easy,"public class Solution {
    public int[] SmallerNumbersThanCurrent(int[] nums) {
        int n = nums.Length;
        int[] result = new int[n];
        
        for (int i = 0; i < n; i++) {
            int count = 0;
            for (int j = 0; j < n; j++) {
                if (i != j && nums[j] < nums[i]) {
                    count++;
                }
            }
            result[i] = count;
        }
        
        return result;
    }
}"
Find All The Lonely Nodes,"In a binary tree, a lonely node is a node that is the only child of its parent node. The root of the tree is not lonely because it does not have a parent node.

Given the `root` of a binary tree, return an array containing the values of all lonely nodes in the tree. Return the list in any order.


Example 1:
Input: root = [1,2,3,null,4]
Output: [4]
Explanation: Light blue node is the only lonely node.

Node 1 is the root and is not lonely.

Nodes 2 and 3 have the same parent and are not lonely.


Example 2:
Input: root = [7,1,4,6,null,5,3,null,null,null,null,null,2]
Output: [6,2]
Explanation: Light blue nodes are lonely nodes.

Please remember that order doesn't matter, [2,6] is also an acceptable answer.


Example 3:
Input: root = [11,99,88,77,null,null,66,55,null,null,44,33,null,null,22]
Output: [77,55,33,66,44,22]
Explanation: Nodes 99 and 88 share the same parent. Node 11 is the root.

All other nodes are lonely.


Example 4:
Input: root = [197]
Output: []

Example 5:
Input: root = [31,null,78,null,28]
Output: [78,28]

Constraints:
The number of nodes in the `tree` is in the range `[1, 1000].`
Each node's value is between `[1, 10^6]`.",Easy,"using System;
using System.Collections.Generic;

public class TreeNode {
    public int val;
    public TreeNode left;
    public TreeNode right;
    public TreeNode(int val = 0, TreeNode left = null, TreeNode right = null) {
        this.val = val;
        this.left = left;
        this.right = right;
    }
}

public class Solution {
    private List<int> lonelyNodes = new List<int>();

    public int[] GetLonelyNodes(TreeNode root) {
        if (root == null) {
            return new int[0];
        }

        // Start DFS from the root
        Dfs(root, false);

        // Convert the list to an array
        int[] result = new int[lonelyNodes.Count];
        for (int i = 0; i < lonelyNodes.Count; i++) {
            result[i] = lonelyNodes[i];
        }

        return result;
    }

    private void Dfs(TreeNode node, bool hasSibling) {
        if (node == null) {
            return;
        }

        // If the current node is lonely, add its value to the list
        if (!hasSibling && (node.left != null || node.right != null)) {
            lonelyNodes.Add(node.val);
        }

        // Recursively traverse the left and right children
        Dfs(node.left, node.right != null);
        Dfs(node.right, node.left != null);
    }

    public static void Main(string[] args) {
        // Example usage
        Solution solution = new Solution();
        
        // Construct the tree for example 1
        TreeNode root1 = new TreeNode(1);
        root1.left = new TreeNode(2);
        root1.right = new TreeNode(3);
        root1.left.right = new TreeNode(4);
        
        int[] result1 = solution.GetLonelyNodes(root1);
        Console.WriteLine(""Example 1: "" + string.Join("", "", result1)); // Output: 4

        // Construct the tree for example 2
        TreeNode root2 = new TreeNode(7);
        root2.left = new TreeNode(1);
        root2.right = new TreeNode(4);
        root2.left.left = new TreeNode(6);
        root2.right.left = new TreeNode(5);
        root2.right.right = new TreeNode(3);
        root2.right.left.left = new TreeNode(2);
        
        int[] result2 = solution.GetLonelyNodes(root2);
        Console.WriteLine(""Example 2: "" + string.Join("", "", result2)); // Output: 6, 2
    }
}"
Maximum Ascending Subarray Sum,"Given an array of positive integers `nums`, return the maximum possible sum of an ascending subarray in `nums`.

A subarray is defined as a contiguous sequence of numbers in an array.

A subarray `[numsl, numsl+1, ..., numsr-1, numsr]` is ascending if for all `i` where `l <= i < r`, `numsi  < numsi+1`. Note that a subarray of size `1` is ascending.


Example 1:
Input: nums = [10,20,30,5,10,50]
Output: 65
Explanation: [5,10,50] is the ascending subarray with the maximum sum of 65.


Example 2:
Input: nums = [10,20,30,40,50]
Output: 150
Explanation: [10,20,30,40,50] is the ascending subarray with the maximum sum of 150.


Example 3:
Input: nums = [12,17,15,13,10,11,12]
Output: 33
Explanation: [10,11,12] is the ascending subarray with the maximum sum of 33.


Example 4:
Input: nums = [100,10,1]
Output: 100

Constraints:
`1 <= nums.length <= 100`
`1 <= nums[i] <= 100`",Easy,"public class Solution {
    public int MaxAscendingSum(int[] nums) {
        // Initialize variables to keep track of the maximum sum and the current sum
        int maxSum = 0;
        int currentSum = 0;
        
        // Iterate through the array
        for (int i = 0; i < nums.Length; i++) {
            // If it's the first element or the current element is greater than the previous one
            if (i == 0 || nums[i] > nums[i - 1]) {
                // Add the current element to the current sum
                currentSum += nums[i];
            } else {
                // Otherwise, compare the current sum with the max sum and update if necessary
                if (currentSum > maxSum) {
                    maxSum = currentSum;
                }
                // Reset the current sum to start a new subarray
                currentSum = nums[i];
            }
        }
        
        // Final comparison to ensure the last subarray is considered
        if (currentSum > maxSum) {
            maxSum = currentSum;
        }
        
        // Return the maximum sum found
        return maxSum;
    }
}"
